Open_Closed,WhoAff,PopAff,Var_R,Var_A,M,K,Yr_Dist_Start,Dist_Length,Yr_Dist_End,Yr_Sampled,Samp_time,Dist_Impact,IO,BA,BACI
open,juvs,both,5400,0.014,0.119,1,6,5,11,17,6,0.25,0.958092,0.871298,0.940666
open,juvs,both,5400,0.014,0.119,1,6,5,11,18,7,0.25,0.950584,0.88685,0.93542
open,juvs,both,5400,0.014,0.119,1,6,5,11,19,8,0.25,0.949128,0.89938,0.929566
open,juvs,both,5400,0.014,0.119,1,6,5,11,20,9,0.25,0.958988,0.92236,0.941228
open,juvs,both,5400,0.014,0.119,1,6,5,11,21,10,0.25,0.950482,0.929622,0.933508
open,juvs,both,5400,0.014,0.119,1,6,5,11,22,11,0.25,0.957728,0.939122,0.94171
open,juvs,both,5400,0.014,0.119,1,6,5,11,23,12,0.25,0.958088,0.945142,0.94502
open,juvs,both,5400,0.014,0.119,1,6,5,11,24,13,0.25,0.966564,0.955808,0.958882
open,juvs,both,5400,0.014,0.119,1,6,5,11,25,14,0.25,0.964236,0.948308,0.950206
open,juvs,both,5400,0.014,0.119,1,6,5,11,26,15,0.25,0.969284,0.96129,0.956398
open,juvs,both,5400,0.014,0.119,1,6,5,11,0,-11,0.3,0.47575,0.498002,0.498002
open,juvs,both,5400,0.014,0.119,1,6,5,11,1,-10,0.3,0.604982,0.60621,0.609854
open,juvs,both,5400,0.014,0.119,1,6,5,11,2,-9,0.3,0.680284,0.66164,0.691752
open,juvs,both,5400,0.014,0.119,1,6,5,11,3,-8,0.3,0.755386,0.748234,0.751652
open,juvs,both,5400,0.014,0.119,1,6,5,11,4,-7,0.3,0.806964,0.793304,0.804404
open,juvs,both,5400,0.014,0.119,1,6,5,11,5,-6,0.3,0.838782,0.83142,0.83507
open,juvs,both,5400,0.014,0.119,1,6,5,11,6,-5,0.3,0.87768,0.855816,0.878484
open,juvs,both,5400,0.014,0.119,1,6,5,11,7,-4,0.3,0.910816,0.877288,0.904908
open,juvs,both,5400,0.014,0.119,1,6,5,11,8,-3,0.3,0.929172,0.848524,0.920458
open,juvs,both,5400,0.014,0.119,1,6,5,11,9,-2,0.3,0.94534,0.820572,0.934236
open,juvs,both,5400,0.014,0.119,1,6,5,11,10,-1,0.3,0.966224,0.813822,0.954244
open,juvs,both,5400,0.014,0.119,1,6,5,11,11,0,0.3,0.98618,0.784624,0.967706
open,juvs,both,5400,0.014,0.119,1,6,5,11,12,1,0.3,0.991832,0.778164,0.970376
open,juvs,both,5400,0.014,0.119,1,6,5,11,13,2,0.3,0.993386,0.800678,0.97499
open,juvs,both,5400,0.014,0.119,1,6,5,11,14,3,0.3,0.988018,0.828622,0.970256
open,juvs,both,5400,0.014,0.119,1,6,5,11,15,4,0.3,0.97921,0.842896,0.965948
open,juvs,both,5400,0.014,0.119,1,6,5,11,16,5,0.3,0.965036,0.868284,0.95141
open,juvs,both,5400,0.014,0.119,1,6,5,11,17,6,0.3,0.964014,0.887806,0.95202
open,juvs,both,5400,0.014,0.119,1,6,5,11,18,7,0.3,0.965534,0.90175,0.953816
open,juvs,both,5400,0.014,0.119,1,6,5,11,19,8,0.3,0.962374,0.92612,0.95563
open,juvs,both,5400,0.014,0.119,1,6,5,11,20,9,0.3,0.950286,0.92533,0.944322
open,juvs,both,5400,0.014,0.119,1,6,5,11,21,10,0.3,0.95529,0.929388,0.9488
open,juvs,both,5400,0.014,0.119,1,6,5,11,22,11,0.3,0.945466,0.936226,0.940048
open,juvs,both,5400,0.014,0.119,1,6,5,11,23,12,0.3,0.966258,0.954424,0.968518
open,juvs,both,5400,0.014,0.119,1,6,5,11,24,13,0.3,0.957764,0.952232,0.95066
open,juvs,both,5400,0.014,0.119,1,6,5,11,25,14,0.3,0.964172,0.954832,0.957794
open,juvs,both,5400,0.014,0.119,1,6,5,11,26,15,0.3,0.969282,0.964298,0.964896
open,juvs,both,5400,0.014,0.119,1,6,5,11,0,-11,0.35,0.488174,0.498002,0.498002
open,juvs,both,5400,0.014,0.119,1,6,5,11,1,-10,0.35,0.599688,0.597652,0.593544
open,juvs,both,5400,0.014,0.119,1,6,5,11,2,-9,0.35,0.680268,0.688184,0.675602
open,juvs,both,5400,0.014,0.119,1,6,5,11,3,-8,0.35,0.766228,0.767708,0.761078
open,juvs,both,5400,0.014,0.119,1,6,5,11,4,-7,0.35,0.82523,0.8207,0.804088
open,juvs,both,5400,0.014,0.119,1,6,5,11,5,-6,0.35,0.851478,0.844312,0.841288
open,juvs,both,5400,0.014,0.119,1,6,5,11,6,-5,0.35,0.876886,0.87303,0.865146
open,juvs,both,5400,0.014,0.119,1,6,5,11,7,-4,0.35,0.898882,0.877672,0.886984
open,juvs,both,5400,0.014,0.119,1,6,5,11,8,-3,0.35,0.936746,0.876524,0.92085
open,juvs,both,5400,0.014,0.119,1,6,5,11,9,-2,0.35,0.94785,0.857532,0.928648
open,juvs,both,5400,0.014,0.119,1,6,5,11,10,-1,0.35,0.969526,0.814022,0.941204
open,juvs,both,5400,0.014,0.119,1,6,5,11,11,0,0.35,0.986144,0.816454,0.962856
open,juvs,both,5400,0.014,0.119,1,6,5,11,12,1,0.35,0.988294,0.809048,0.962056
open,juvs,both,5400,0.014,0.119,1,6,5,11,13,2,0.35,0.987984,0.820884,0.965148
open,juvs,both,5400,0.014,0.119,1,6,5,11,14,3,0.35,0.987992,0.840036,0.964782
open,juvs,both,5400,0.014,0.119,1,6,5,11,15,4,0.35,0.980776,0.870568,0.958774
open,juvs,both,5400,0.014,0.119,1,6,5,11,16,5,0.35,0.9677,0.89005,0.948578
open,juvs,both,5400,0.014,0.119,1,6,5,11,17,6,0.35,0.96914,0.902758,0.945186
open,juvs,both,5400,0.014,0.119,1,6,5,11,18,7,0.35,0.959224,0.905644,0.93917
open,juvs,both,5400,0.014,0.119,1,6,5,11,19,8,0.35,0.966026,0.928952,0.949578
open,juvs,both,5400,0.014,0.119,1,6,5,11,20,9,0.35,0.960458,0.936666,0.9498
open,juvs,both,5400,0.014,0.119,1,6,5,11,21,10,0.35,0.96074,0.936506,0.944126
open,juvs,both,5400,0.014,0.119,1,6,5,11,22,11,0.35,0.965906,0.950304,0.945206
open,juvs,both,5400,0.014,0.119,1,6,5,11,23,12,0.35,0.96557,0.95382,0.953026
open,juvs,both,5400,0.014,0.119,1,6,5,11,24,13,0.35,0.96133,0.956564,0.952514
